mean_reversion_level,action_threshold,threshold_re,threshold_de,enabled,E[Wealth],Std,Sharpe,Trades,Broke%,Min,Median,Max
50.0,0.5,0.0,0.0,True,685.7381703237068,457.48923858656985,1.2803321278842903,618.93,5.0,-415.4177946955306,647.5897637658417,1828.5302698879823
50.0,0.5,0.0,0.2,True,685.7381703237068,457.48923858656985,1.2803321278842903,618.93,5.0,-415.4177946955306,647.5897637658417,1828.5302698879823
50.0,0.5,0.0,0.4,True,727.8843630749659,451.89565508836813,1.3894454527388258,616.13,5.0,-388.3801924252439,717.8531937015829,1914.9241522287884
50.0,0.5,0.0,0.6,True,793.1816562914439,450.7419400827847,1.5378681117717423,577.94,6.0,-359.52117187934346,805.4284704542314,1964.9331571695302
50.0,0.5,0.0,0.8,True,795.1240524869459,415.43073664188597,1.6732610064097497,500.01,3.0,-318.55129297536587,806.2090606130405,1982.240386691913
50.0,0.5,0.0,1.0,True,709.7368052252901,352.82004756045825,1.7281807239731959,395.87,3.0,-323.90744701301264,696.2612102881766,1712.5037082965628
50.0,0.5,0.0,1.2,True,566.8269270633301,268.9317472630336,1.7358565205272751,282.34,3.0,-168.1333189732627,548.433822338633,1211.8933104489734
50.0,0.5,0.0,1.4,True,398.7856758113854,186.77768003063568,1.5996861924956873,167.91,3.0,-44.16427809409333,371.56672933672405,930.7475516007116
50.0,0.5,0.0,1.6,True,240.57051681523825,111.4884204661702,1.260853066421303,72.91,0.0,10.118426577419086,220.22475622801173,629.9647796231425
50.0,0.5,0.0,1.8,True,128.02480123206058,41.50767369569539,0.6751715703828262,13.4,0.0,69.97983943687882,116.28267290769277,314.42814566526556
50.0,0.5,0.0,2.0,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,0.5,0.3,0.0,True,685.7381703237068,457.48923858656985,1.2803321278842903,618.93,5.0,-415.4177946955306,647.5897637658417,1828.5302698879823
50.0,0.5,0.3,0.2,True,685.7381703237068,457.48923858656985,1.2803321278842903,618.93,5.0,-415.4177946955306,647.5897637658417,1828.5302698879823
50.0,0.5,0.3,0.4,True,727.8843630749659,451.89565508836813,1.3894454527388258,616.13,5.0,-388.3801924252439,717.8531937015829,1914.9241522287884
50.0,0.5,0.3,0.6,True,793.1816562914439,450.7419400827847,1.5378681117717423,577.94,6.0,-359.52117187934346,805.4284704542314,1964.9331571695302
50.0,0.5,0.3,0.8,True,795.1240524869459,415.43073664188597,1.6732610064097497,500.01,3.0,-318.55129297536587,806.2090606130405,1982.240386691913
50.0,0.5,0.3,1.0,True,709.7368052252901,352.82004756045825,1.7281807239731959,395.87,3.0,-323.90744701301264,696.2612102881766,1712.5037082965628
50.0,0.5,0.3,1.2,True,566.8269270633301,268.9317472630336,1.7358565205272751,282.34,3.0,-168.1333189732627,548.433822338633,1211.8933104489734
50.0,0.5,0.3,1.4,True,398.7856758113854,186.77768003063568,1.5996861924956873,167.91,3.0,-44.16427809409333,371.56672933672405,930.7475516007116
50.0,0.5,0.3,1.6,True,240.57051681523825,111.4884204661702,1.260853066421303,72.91,0.0,10.118426577419086,220.22475622801173,629.9647796231425
50.0,0.5,0.3,1.8,True,128.02480123206058,41.50767369569539,0.6751715703828262,13.4,0.0,69.97983943687882,116.28267290769277,314.42814566526556
50.0,0.5,0.3,2.0,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,0.5,0.6,0.0,True,685.3831899642064,457.2956966735187,1.2800977446812372,618.81,5.0,-415.4177946955306,647.5897637658417,1828.5302698879823
50.0,0.5,0.6,0.2,True,685.3831899642064,457.2956966735187,1.2800977446812372,618.81,5.0,-415.4177946955306,647.5897637658417,1828.5302698879823
50.0,0.5,0.6,0.4,True,727.4654965430824,451.7546662437242,1.3889518878916487,616.02,5.0,-388.3801924252439,717.8531937015829,1914.9241522287884
50.0,0.5,0.6,0.6,True,792.672476655362,450.5220369637143,1.5374885573269987,577.82,6.0,-359.52117187934346,803.7597528581719,1964.9331571695302
50.0,0.5,0.6,0.8,True,794.6840734444174,415.1887998402596,1.6731763325785554,499.9,3.0,-318.55129297536587,806.2090606130405,1982.240386691913
50.0,0.5,0.6,1.0,True,709.4399605207199,352.7068188462327,1.7278938992852686,395.76,3.0,-323.90744701301264,696.2612102881766,1712.5037082965628
50.0,0.5,0.6,1.2,True,566.5850184234221,268.9141332561148,1.735070644200931,282.24,3.0,-168.1333189732627,548.433822338633,1211.8933104489734
50.0,0.5,0.6,1.4,True,398.69159400248975,186.7011338911723,1.5998381358336926,167.85,3.0,-44.16427809409333,371.56672933672405,930.7475516007116
50.0,0.5,0.6,1.6,True,240.60322851359885,111.29924820711311,1.263290011195358,72.89,0.0,10.118426577419086,220.22475622801173,629.9647796231425
50.0,0.5,0.6,1.8,True,128.02480123206058,41.50767369569539,0.6751715703828262,13.4,0.0,69.97983943687882,116.28267290769277,314.42814566526556
50.0,0.5,0.6,2.0,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,0.5,0.9,0.0,True,295.4242632934758,201.15905467151558,0.9714912590566482,168.29,7.000000000000001,-185.1530450257069,295.95018856568447,842.5460595365203
50.0,0.5,0.9,0.2,True,295.4242632934758,201.15905467151558,0.9714912590566482,168.29,7.000000000000001,-185.1530450257069,295.95018856568447,842.5460595365203
50.0,0.5,0.9,0.4,True,300.93134483112306,197.8331596912581,1.0156605957499747,166.22,7.000000000000001,-187.6751917987458,305.556939779082,845.3063272348281
50.0,0.5,0.9,0.6,True,310.0503142918415,185.35972707891062,1.1332036230416962,154.28,4.0,-161.78402736221005,294.405964790309,829.1053595796257
50.0,0.5,0.9,0.8,True,302.41192892941245,167.26307878095315,1.2101411166446963,131.57,3.0,-175.25384218130557,295.1444853674567,717.4195804861615
50.0,0.5,0.9,1.0,True,274.3756959218472,147.5240490666722,1.1820153868135737,104.26,2.0,-131.94543940440462,265.9204790226022,628.2746604712592
50.0,0.5,0.9,1.2,True,234.63368992535226,120.28337677476817,1.1193042092379497,73.84,3.0,-66.63110035084628,229.20964064533658,495.2393048401209
50.0,0.5,0.9,1.4,True,185.61213429979162,80.8479243822065,1.058928042420266,43.58,1.0,-52.534949898069954,172.43475706276075,381.0945851868314
50.0,0.5,0.9,1.6,True,138.1473245224217,42.250245242580576,0.9028900140909983,18.23,0.0,73.48406474119594,125.7910917293285,269.44521992119184
50.0,0.5,0.9,1.8,True,105.69114024816275,13.614147135468018,0.41803134574151984,3.35,0.0,78.533980953922,100.62151418313931,182.7266429600993
